Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Payment_Method,Order_Status
O0001,2026-02-19,C027,P019,2,Credit Card,Delivered
O0002,2026-01-25,C006,P003,2,Debit Card,Delivered
O0003,2026-02-26,C015,P004,1,Cash on Delivery,Delivered
O0004,2026-03-04,C024,P015,3,Net Banking,Delivered
O0005,2026-03-29,C025,P009,5,Credit Card,Delivered
O0006,2026-02-09,C003,P018,3,UPI,Delivered
O0007,2026-02-10,C011,P003,3,UPI,Delivered
O0008,2026-03-27,C020,P005,4,Debit Card,Delivered
O0009,2026-03-13,C024,P009,2,UPI,Cancelled
O0010,2026-03-05,C026,P005,2,Debit Card,Shipped
O0011,2026-01-26,C022,P020,2,Net Banking,Cancelled
O0012,2026-02-03,C017,P008,5,Credit Card,Delivered
O0013,2026-03-22,C005,P009,3,Cash on Delivery,Delivered
O0014,2026-02-20,C007,P010,4,UPI,Shipped
O0015,2026-02-16,C027,P011,3,Credit Card,Cancelled
O0016,2026-02-25,C011,P008,3,UPI,Delivered
O0017,2026-02-27,C023,P011,4,Net Banking,Delivered
O0018,2026-01-05,C003,P011,4,Net Banking,Cancelled
O0019,2026-03-05,C019,P017,4,Net Banking,Delivered
O0020,2026-02-06,C010,P012,3,Credit Card,Delivered
O0021,2026-01-09,C026,P019,1,Debit Card,Cancelled
O0022,2026-01-02,C023,P014,4,Net Banking,Delivered
O0023,2026-02-04,C015,P013,3,Debit Card,Delivered
O0024,2026-02-20,C030,P001,4,Net Banking,Delivered
O0025,2026-01-22,C026,P008,2,Cash on Delivery,Cancelled
O0026,2026-01-28,C015,P005,2,UPI,Delivered
O0027,2026-01-11,C002,P008,1,Cash on Delivery,Shipped
O0028,2026-01-07,C006,P011,3,UPI,Delivered
O0029,2026-01-15,C005,P017,1,Cash on Delivery,Cancelled
O0030,2026-03-05,C017,P010,3,Net Banking,Shipped
O0031,2026-03-24,C013,P014,2,Debit Card,Delivered
O0032,2026-01-25,C017,P005,2,Credit Card,Shipped
O0033,2026-02-13,C010,P008,5,Credit Card,Delivered
O0034,2026-01-13,C010,P020,5,Credit Card,Delivered
O0035,2026-03-01,C003,P007,2,Net Banking,Cancelled
O0036,2026-03-14,C026,P016,5,Debit Card,Shipped
